In,Node,Closeness,Betweeness,Sujeto,Posicion,Ensayo,Selection
0,Central image,1,0,106,1,16,Real
1,Inferior image,0.5,0,106,1,16,Real
1,Central image,0.1111111111111111,2,106,1,17,Precio
0,Superior location score,0.16666666666666666,0,106,1,17,Precio
1,Superior price,0.14285714285714285,2,106,1,17,Precio
1,Inferior image,0.08333333333333333,0,106,1,17,Precio
1,Superior image,0.3333333333333333,0,106,3,18,Real
1,Central image,0.25,1,106,3,18,Real
1,Inferior image,0.16666666666666666,0,106,3,18,Real
2,Central image,0.5,0,106,2,19,Comentarios
0,Inferior image,1,0,106,2,19,Comentarios
3,Superior image,0.011111111111111112,0,107,1,0,Real
2,Central image,0.012345679012345678,0,107,1,0,Real
3,Inferior image,0.011111111111111112,0,107,1,0,Real
0,Central star rating,0.012345679012345678,0,107,1,0,Real
0,Inferior review score,0.012345679012345678,0,107,1,0,Real
0,Inferior location score,0.0136986301369863,0,107,1,0,Real
1,Superior price,0.012345679012345678,1,107,1,0,Real
1,Center review score,0.011111111111111112,0,107,1,0,Real
1,Superior location score,0.011111111111111112,0,107,1,0,Real
1,Center price,0.011111111111111112,0,107,1,0,Real
2,Superior image,0.04,1,107,1,1,Comentarios
3,Central image,0.03333333333333333,0,107,1,1,Comentarios
2,Inferior image,0.03333333333333333,0,107,1,1,Comentarios
0,Superior review score,0.04,0,107,1,1,Comentarios
0,Inferior location score,0.047619047619047616,0,107,1,1,Comentarios
1,Superior location score,0.03333333333333333,0,107,1,1,Comentarios
1,Superior image,0.25,0,107,2,2,Real
2,Central image,0.16666666666666666,0,107,2,2,Real
1,Inferior image,0.16666666666666666,0,107,2,2,Real
1,Superior image,0.25,1,107,2,3,Precio
0,Inferior image,0.3333333333333333,0,107,2,3,Precio
1,Central image,0.16666666666666666,0,107,2,3,Precio
1,Superior image,0.08333333333333333,0,107,3,4,Comentarios
2,Central image,0.14285714285714285,0,107,3,4,Comentarios
2,Inferior image,0.1111111111111111,1,107,3,4,Comentarios
1,Center Number of comments,0.08333333333333333,0,107,3,4,Comentarios
1,Superior image,0.25,0,107,2,5,Real
2,Central image,0.16666666666666666,0,107,2,5,Real
1,Inferior image,0.16666666666666666,0,107,2,5,Real
2,Superior image,0.16666666666666666,0,107,1,6,Real
1,Central image,0.16666666666666666,0,107,1,6,Real
1,Inferior image,0.16666666666666666,0,107,1,6,Real
2,Superior image,0.25,1,107,2,7,Comentarios
2,Central image,0.16666666666666666,0,107,2,7,Comentarios
0,Inferior image,0.3333333333333333,0,107,2,7,Comentarios
1,Superior image,0.027777777777777776,0,107,3,8,Real
3,Central image,0.023809523809523808,0,107,3,8,Real
1,Inferior image,0.027777777777777776,0,107,3,8,Real
2,Center location score,0.023809523809523808,0,107,3,8,Real
1,Inferior location score,0.023809523809523808,0,107,3,8,Real
0,Superior price,0.027777777777777776,0,107,3,8,Real
1,Center price,0.023809523809523808,0,107,3,8,Real
3,Superior image,0.16666666666666666,0,107,2,9,Precio
1,Central image,0.16666666666666666,0,107,2,9,Precio
0,Inferior image,0.25,0,107,2,9,Precio
